OBJECTID,ROADNAME1,Cnt_ROADNAME1
281,Round Lake Dr,10
282,Russon St,1
283,S Audubon Rd,6
284,S Cherry St,6
285,S Lake 16 Dr,1
286,S Minkler Rd,1
287,S Patterson Rd,46
288,S Rolling Ridge Dr,2
289,S Shore Dr,1
290,S Van Bruggen Dr,1
291,Saint Andrews Dr,3
292,Saint Joseph St,4
293,Sanctuary Trl,4
294,Sarah Ln,1
295,Sassafrass Dr,2
296,Schnable Lake Campground,21
297,School Access,18
298,Schuler Dr,3
299,Second Division St,1
300,Silver Creek County Park,19
301,Silver Lake Dr,2
302,Snyder Rd,2
303,South Ln,1
304,Spruce St,1
305,St Sebina,1
306,Sterling St,1
307,Stern St,1
308,Sunsurf Ct,3
309,Sycamore Bnd,1
310,Taft Rd,1
311,Taylor Dr,1
312,Thompson St,1
313,Trappers Xing,1
314,Vienna Strauss Rd,5
315,W 1st Ave,2
316,W 1st St,4
317,W Baseline Rd,2
318,W Van Bruggen Dr,2
319,Walker Rd,1
320,Walnut Ave,1
321,Washington Ave,4
322,Washington St,1
323,Watson Rd,11
324,Watson St,1
325,Waukazoo Trl,1
326,West St,1
327,Westwind Pl,1
328,Wildwood Rd,4
329,Williams Bridge Rd,15
330,Williams Rd,3
331,Womhoff St,2
332,Wood Lea Dr,3
333,Woodland Dr,3
334,Woods St,2
