OBJECTID,SYM,Cnt_SYM
-1,0.000000000000000,301
-1,1.000000000000000,127
-1,2.000000000000000,1966
-1,3.000000000000000,4783
-1,5.000000000000000,898
-1,6.000000000000000,779
-1,7.000000000000000,2955
-1,8.000000000000000,1151
-1,12.000000000000000,5
-1,88.000000000000000,64
