OBJECTID,LEGALSYSTEM,Cnt_LEGALSYSTEM
-1,0.000000000000000,3357
-1,1.000000000000000,900
-1,2.000000000000000,1996
-1,3.000000000000000,4830
-1,4.000000000000000,784
-1,5.000000000000000,1162
