OBJECTID,EPT,Cnt_EPT
-1,3000651,1
-1,3000653,1
-1,3000655,1
-1,3000656,1
-1,3000658,2
-1,3000662,1
-1,3000663,2
-1,3000666,1
-1,3000667,1
-1,3000670,1
-1,3000673,1
-1,3000674,2
-1,3000679,1
-1,3000681,1
-1,3000687,1
-1,3000696,1
-1,3000697,1
-1,3000699,1
-1,3000710,1
-1,3000712,2
-1,3000719,1
-1,3000721,1
-1,3000722,1
-1,3000724,4
-1,3000728,1
-1,3000729,1
-1,3000730,1
-1,3000731,1
-1,3000734,1
-1,3000742,2
-1,3000744,1
-1,3000746,1
-1,3000749,3
-1,3000756,1
-1,3000758,1
-1,3000759,1
-1,3000762,1
-1,3000763,1
-1,3000764,1
-1,3000765,2
-1,3000770,1
-1,3000775,1
-1,3000776,1
-1,3000778,1
-1,3000785,1
-1,3000786,1
-1,3000789,1
-1,3000791,1
-1,3000793,2
-1,3000794,1
-1,3000801,1
-1,3000812,2
-1,3000813,2
-1,3000815,1
-1,3000818,1
-1,3000823,1
-1,3000828,1
-1,3000829,1
-1,3000830,1
-1,3000831,1
-1,3000836,1
-1,3000847,1
-1,3000850,1
-1,3000853,1
-1,3000854,1
-1,3000856,1
-1,3000862,1
-1,3000864,1
-1,3000870,1
-1,3000875,1
-1,3000876,1
-1,3000878,1
-1,3000883,1
-1,3000896,2
-1,3000897,1
-1,3000910,1
-1,3000918,1
-1,3000922,1
-1,3000923,2
-1,3000926,2
-1,3000932,1
-1,3000934,1
-1,3000936,1
-1,3000941,1
-1,3000947,2
-1,3000952,1
-1,3000956,1
-1,3000959,1
-1,3000960,1
-1,3000961,2
-1,3000962,1
-1,3000966,1
-1,3000970,2
-1,3000972,1
-1,3000974,1
-1,3000977,1
-1,3000980,2
-1,3000982,1
-1,3000983,2
-1,3000984,2
-1,3000986,1
-1,3000988,1
-1,3000989,1
-1,3000991,2
-1,3000993,1
-1,3000995,1
-1,3000996,2
-1,3000999,1
-1,3001000,1
-1,3001001,2
-1,3001002,1
-1,3001003,1
-1,3001004,1
-1,3001007,1
-1,3001009,1
-1,3001011,1
-1,3001012,1
-1,3001014,1
-1,3001016,2
-1,3001017,1
-1,3001018,1
-1,3001020,2
-1,3001021,2
-1,3001023,1
-1,3001024,2
-1,3001027,1
-1,3001028,2
-1,3001029,1
-1,3001030,1
-1,3001031,1
-1,3001032,2
-1,3001033,2
-1,3001034,1
-1,3001035,1
-1,3001037,1
-1,3001038,2
-1,3001039,1
-1,3001041,3
-1,3001042,1
-1,3001044,1
-1,3001045,2
-1,3001046,3
-1,3001047,2
-1,3001048,1
-1,3001051,2
-1,3001052,2
-1,3001053,1
-1,3001054,1
-1,3001055,1
-1,3001056,1
-1,3001057,1
-1,3001058,1
-1,3001059,1
-1,3001062,1
-1,3001065,2
-1,3001066,2
-1,3001068,1
-1,3001070,1
-1,3001073,1
-1,3001074,1
-1,3001075,2
-1,3001076,1
-1,3001078,1
-1,3001079,1
-1,3001080,2
-1,3001082,1
-1,3001087,1
-1,3001088,2
-1,3001094,1
-1,3001095,1
-1,3001097,2
-1,3001099,2
-1,3001101,1
-1,3001108,1
-1,3001110,1
-1,3001115,2
-1,3001117,2
-1,3001118,1
-1,3001119,1
-1,3001120,1
-1,3001122,1
-1,3001123,1
-1,3001124,1
-1,3001125,2
-1,3001126,1
-1,3001129,1
-1,3001132,1
-1,3001133,2
-1,3001135,1
-1,3001142,1
-1,3001143,1
-1,3001145,1
-1,3001146,1
-1,3001147,1
-1,3001150,1
-1,3001151,2
-1,3001155,2
-1,3001156,1
-1,3001160,2
-1,3001163,2
-1,3001165,2
-1,3001169,1
-1,3001170,2
-1,3001172,2
-1,3001174,1
-1,3001175,2
-1,3001176,1
-1,3001177,1
-1,3001179,1
-1,3001184,2
-1,3001189,1
-1,3001193,1
-1,3001196,1
-1,3001199,2
-1,3001200,1
-1,3001201,1
-1,3001203,2
-1,3001211,1
-1,3001218,2
-1,3001220,1
-1,3001222,1
-1,3001227,1
-1,3001232,1
-1,3001236,1
-1,3001248,1
-1,3001259,1
-1,3001261,1
-1,3001266,1
-1,3001270,1
-1,3001282,2
-1,3001283,1
-1,3001284,2
-1,3001290,1
-1,3001293,1
-1,3001307,2
-1,3001308,1
-1,3001314,1
-1,3001319,1
-1,3001330,1
-1,3001339,2
-1,3001355,1
-1,3001357,3
-1,3001361,1
-1,3001363,1
-1,3001368,1
-1,3001372,2
-1,3001375,1
-1,3001381,1
-1,3001383,1
-1,3001388,1
-1,3001392,1
-1,3001393,1
-1,3001396,2
-1,3001409,1
-1,3001415,2
-1,3001417,1
-1,3001423,1
-1,3001427,1
-1,3001428,1
-1,3001430,2
-1,3001436,1
-1,3001440,1
-1,3001441,1
-1,3001443,1
-1,3001447,1
-1,3001448,1
-1,3001462,2
-1,3001466,1
-1,3001470,1
-1,3001485,1
-1,3001493,1
-1,3001495,1
-1,3001496,1
-1,3001497,1
-1,3001498,2
-1,3001505,1
-1,3001510,1
-1,3001512,2
-1,3001519,1
-1,3001527,1
-1,3001530,1
-1,3001531,1
-1,3001532,1
-1,3001533,3
-1,3001537,1
-1,3001538,2
-1,3001540,1
-1,3001542,1
-1,3001548,2
-1,3001551,1
-1,3001552,1
-1,3001553,2
-1,3001555,1
-1,3001556,2
-1,3001558,2
-1,3001561,1
-1,3001565,1
-1,3001567,1
-1,3001571,2
-1,3001572,1
-1,3001574,1
-1,3001575,1
-1,3001580,1
-1,3001591,1
-1,3001597,1
-1,3001598,2
-1,3001599,1
-1,3001605,1
-1,3001611,2
-1,3001615,1
-1,3001620,1
-1,3001624,2
-1,3001633,1
-1,3001634,1
-1,3001638,1
-1,3001639,1
-1,3001643,1
-1,3001645,2
-1,3001650,1
-1,3001660,1
-1,3001677,1
-1,3001685,1
-1,3001692,1
-1,3001694,1
-1,3001695,1
-1,3001699,1
-1,3001701,2
-1,3001704,1
-1,3001710,2
-1,3001712,1
-1,3001714,1
-1,3001718,1
-1,3001719,1
-1,3001722,1
-1,3001724,1
-1,3001726,1
-1,3001729,1
-1,3001738,1
-1,3001742,1
-1,3001745,1
-1,3001746,1
-1,3001754,1
-1,3001756,1
-1,3001759,1
-1,3001760,1
-1,3001761,2
-1,3001762,1
-1,3001763,1
-1,3001776,1
-1,3001778,2
-1,3001789,1
-1,3001790,2
-1,3001791,1
-1,3001794,1
-1,3001795,1
-1,3001797,1
-1,3001798,1
-1,3001804,1
-1,3001807,2
-1,3001809,2
-1,3001811,1
-1,3001812,2
-1,3001813,2
-1,3001814,1
-1,3001815,2
-1,3001816,1
-1,3001818,1
-1,3001820,1
-1,3001825,1
-1,3001829,2
-1,3001832,1
-1,3001834,1
-1,3001837,2
-1,3001842,1
-1,3001843,1
-1,3001845,1
-1,3001848,1
-1,3001849,2
-1,3001850,1
-1,3001852,1
-1,3001853,1
-1,3001854,1
-1,3001855,2
-1,3001856,2
-1,3001861,1
-1,3001862,1
-1,3001863,1
-1,3001864,2
-1,3001866,1
-1,3001867,1
-1,3001869,1
-1,3001870,1
-1,3001871,1
-1,3001872,2
-1,3001873,1
-1,3001874,2
-1,3001875,1
-1,3001876,2
-1,3001877,1
-1,3001878,1
-1,3001880,1
-1,3001881,2
-1,3001882,1
-1,3001886,1
-1,3001887,1
-1,3001888,1
-1,3001889,1
-1,3001891,1
-1,3001892,1
-1,3001894,2
-1,3001896,2
-1,3001899,1
-1,3001900,1
-1,3001901,2
-1,3001903,1
-1,3001904,2
-1,3001905,2
-1,3001906,1
-1,3001907,2
-1,3001908,1
-1,3001913,2
-1,3001914,2
-1,3001915,3
-1,3001916,1
-1,3001918,1
-1,3001921,1
-1,3001923,2
-1,3001924,2
-1,3001926,2
-1,3001927,1
-1,3001928,2
-1,3001929,1
-1,3001930,2
-1,3001931,1
-1,3001933,1
-1,3001936,1
-1,3001937,2
-1,3001941,1
-1,3001942,1
-1,3001945,1
-1,3001947,2
-1,3001948,2
-1,3001950,1
-1,3001951,1
-1,3001954,2
-1,3001956,2
-1,3001959,1
-1,3001963,1
-1,3001965,1
-1,3001968,1
-1,3001972,1
-1,3001974,1
-1,3001975,1
-1,3001976,2
-1,3001977,1
-1,3001978,1
-1,3001981,2
-1,3001982,1
-1,3001984,1
-1,3001986,2
-1,3001989,1
-1,3001991,1
-1,3001994,1
-1,3001996,2
-1,3001998,1
-1,3002002,2
-1,3002004,1
-1,3002010,2
-1,3002011,1
-1,3002012,2
-1,3002019,2
-1,3002021,1
-1,3002022,1
-1,3002023,2
-1,3002026,1
-1,3002030,1
-1,3002031,2
-1,3002032,2
-1,3002033,1
-1,3002042,3
-1,3002045,1
-1,3002048,2
-1,3002052,1
-1,3002059,2
-1,3002069,1
-1,3002074,2
-1,3002075,1
-1,3002076,1
-1,3002080,1
-1,3002081,1
-1,3002082,1
-1,3002083,1
-1,3002091,1
-1,3002093,1
-1,3002096,1
-1,3002097,1
-1,3002100,1
-1,3002111,1
-1,3002112,1
-1,3002115,1
-1,3002118,2
-1,3002120,1
-1,3002128,1
-1,3002129,1
-1,3002131,2
-1,3002132,1
-1,3002134,2
-1,3002136,1
-1,3002138,1
-1,3002140,1
-1,3002141,1
-1,3002142,1
-1,3002147,2
-1,3002172,1
-1,3002191,1
-1,3002210,1
-1,3002211,1
-1,3002215,1
-1,3002217,1
-1,3002220,1
-1,3002224,1
-1,3002225,1
-1,3002228,1
-1,3002232,1
-1,3002249,1
-1,3002257,1
-1,3002259,2
-1,3002263,1
-1,3002271,1
-1,3002278,2
-1,3002287,1
-1,3002292,1
-1,3002293,1
-1,3002294,1
-1,3002295,1
-1,3002298,1
-1,3002303,2
-1,3002304,2
-1,3002310,1
-1,3002315,1
-1,3002316,1
-1,3002317,1
-1,3002318,1
-1,3002323,1
-1,3002324,1
-1,3002332,2
-1,3002334,2
-1,3002338,1
-1,3002341,1
-1,3002344,1
-1,3002346,2
-1,3002347,1
-1,3002349,2
-1,3002350,1
-1,3002351,1
-1,3002356,1
-1,3002357,1
-1,3002358,2
-1,3002360,1
-1,3002361,2
-1,3002362,1
-1,3002363,1
-1,3002366,2
-1,3002368,1
-1,3002375,1
-1,3002383,1
-1,3002384,1
-1,3002386,2
-1,3002391,1
-1,3002394,1
-1,3002395,1
-1,3002396,2
-1,3002397,1
-1,3002398,2
-1,3002400,1
-1,3002402,1
-1,3002407,1
-1,3002409,1
-1,3002410,2
-1,3002413,1
-1,3002414,1
-1,3002425,1
-1,3002432,1
-1,3002437,1
-1,3002449,1
-1,3002450,1
-1,3002470,1
-1,3002479,1
-1,3002480,1
-1,3002485,1
-1,3002506,1
-1,3002507,1
-1,3002523,1
-1,3002529,2
-1,3002532,1
-1,3002533,1
-1,3002534,1
-1,3002535,2
-1,3002538,1
-1,3002541,1
-1,3002546,1
-1,3002547,2
-1,3002549,1
-1,3002565,1
-1,3002568,1
-1,3002575,2
-1,3002577,1
-1,3002586,2
-1,3002589,1
-1,3002592,1
-1,3002593,2
-1,3002594,1
-1,3002596,1
-1,3002598,2
-1,3002599,1
-1,3002600,2
-1,3002603,1
-1,3002612,1
-1,3002619,1
-1,3002632,1
-1,3002641,1
-1,3002646,1
-1,3002651,1
-1,3002658,1
-1,3002660,1
-1,3002674,2
-1,3002677,2
-1,3002680,2
-1,3002681,2
-1,3002683,1
-1,3002692,1
-1,3002696,1
-1,3002697,1
-1,3002715,1
-1,3002717,2
-1,3002719,1
-1,3002721,1
-1,3002722,1
-1,3002723,1
-1,3002726,1
-1,3002727,1
-1,3002728,1
-1,3002730,1
-1,3002731,2
-1,3002736,1
-1,3002739,2
-1,3002740,1
-1,3002742,2
-1,3002744,2
-1,3002745,2
-1,3002747,1
-1,3002748,2
-1,3002749,2
-1,3002751,2
-1,3002752,2
-1,3002754,2
-1,3002755,2
-1,3002756,2
-1,3002757,2
-1,3002760,2
-1,3002763,1
-1,3002764,1
-1,3002765,1
-1,3002767,2
-1,3002770,1
-1,3002774,1
-1,3002775,1
-1,3002777,1
-1,3002778,2
-1,3002780,1
-1,3002782,2
-1,3002783,2
-1,3002785,1
-1,3002787,2
-1,3002788,2
-1,3002789,2
-1,3002790,2
-1,3002791,2
-1,3002792,1
-1,3002793,1
-1,3002796,1
-1,3002797,2
-1,3002801,1
-1,3002802,2
-1,3002803,2
-1,3002804,1
-1,3002807,2
-1,3002811,2
-1,3002813,1
-1,3002814,2
-1,3002815,2
-1,3002817,1
-1,3002818,1
-1,3002819,2
-1,3002822,2
-1,3002823,1
-1,3002824,1
-1,3002825,1
-1,3002827,1
-1,3002828,3
-1,3002830,1
-1,3002833,1
-1,3002834,1
-1,3002838,2
-1,3002840,1
-1,3002841,1
-1,3002845,2
-1,3002847,1
-1,3002853,2
-1,3002854,1
-1,3002855,1
-1,3002857,1
-1,3002859,1
-1,3002860,2
-1,3002863,2
-1,3002868,1
-1,3002869,2
-1,3002876,1
-1,3002879,2
-1,3002880,2
-1,3002881,2
-1,3002882,1
-1,3002884,2
-1,3002885,1
-1,3002888,1
-1,3002889,2
-1,3002891,2
-1,3002897,1
-1,3002898,2
-1,3002901,2
-1,3002902,1
-1,3002904,1
-1,3002910,2
-1,3002916,2
-1,3002920,1
-1,3002922,1
-1,3002923,2
-1,3002928,1
-1,3002929,1
-1,3002930,1
-1,3002931,1
-1,3002932,1
-1,3002933,2
-1,3002936,2
-1,3002945,1
-1,3002953,1
-1,3002954,2
-1,3002958,1
-1,3002959,1
-1,3002965,2
-1,3002966,2
-1,3002967,1
-1,3002994,1
-1,3002998,1
-1,3003004,1
-1,3003007,1
-1,3003009,1
-1,3003016,1
-1,3003017,1
-1,3003022,1
-1,3003036,1
-1,3003043,1
-1,3003046,1
-1,3003049,2
-1,3003052,2
-1,3003061,1
-1,3003062,1
-1,3003066,1
-1,3003069,1
-1,3003076,1
-1,3003077,2
-1,3003078,1
-1,3003079,1
-1,3003086,1
-1,3003089,1
-1,3003094,1
