OBJECTID,SPEEDLIMIT,Cnt_SPEEDLIMIT
-1,0.000000000000000,85
-1,10.000000000000000,165
-1,15.000000000000000,25
-1,20.000000000000000,3355
-1,25.000000000000000,2535
-1,30.000000000000000,859
-1,35.000000000000000,204
-1,40.000000000000000,347
-1,45.000000000000000,12
-1,55.000000000000000,5089
-1,70.000000000000000,353
