OBJECTID,BPT,Cnt_BPT
-1,3000813,2
-1,3000815,2
-1,3000818,1
-1,3000823,2
-1,3000829,2
-1,3000830,2
-1,3000847,1
-1,3000850,1
-1,3000852,2
-1,3000853,2
-1,3000854,1
-1,3000856,2
-1,3000862,1
-1,3000864,1
-1,3000875,1
-1,3000883,1
-1,3000886,1
-1,3000896,1
-1,3000910,1
-1,3000918,2
-1,3000923,1
-1,3000926,1
-1,3000932,1
-1,3000934,2
-1,3000936,2
-1,3000952,2
-1,3000956,1
-1,3000959,3
-1,3000960,1
-1,3000961,1
-1,3000962,1
-1,3000966,1
-1,3000970,2
-1,3000972,1
-1,3000974,1
-1,3000980,2
-1,3000982,1
-1,3000983,1
-1,3000984,2
-1,3000986,1
-1,3000988,2
-1,3000989,1
-1,3000991,2
-1,3000993,2
-1,3000995,1
-1,3000996,1
-1,3000999,1
-1,3001001,2
-1,3001002,2
-1,3001003,2
-1,3001004,2
-1,3001007,1
-1,3001009,1
-1,3001011,3
-1,3001012,1
-1,3001014,1
-1,3001016,2
-1,3001017,1
-1,3001018,1
-1,3001020,2
-1,3001021,2
-1,3001023,1
-1,3001024,1
-1,3001027,2
-1,3001028,2
-1,3001029,1
-1,3001030,2
-1,3001031,1
-1,3001032,2
-1,3001033,2
-1,3001034,2
-1,3001035,2
-1,3001037,1
-1,3001038,3
-1,3001039,1
-1,3001041,2
-1,3001042,1
-1,3001044,1
-1,3001045,1
-1,3001046,1
-1,3001048,2
-1,3001051,2
-1,3001052,2
-1,3001053,1
-1,3001054,2
-1,3001055,2
-1,3001056,1
-1,3001057,1
-1,3001058,2
-1,3001059,1
-1,3001062,1
-1,3001065,2
-1,3001066,2
-1,3001070,2
-1,3001073,1
-1,3001074,1
-1,3001075,2
-1,3001076,2
-1,3001078,1
-1,3001079,1
-1,3001080,1
-1,3001082,1
-1,3001087,2
-1,3001088,1
-1,3001094,1
-1,3001095,1
-1,3001097,2
-1,3001099,2
-1,3001101,3
-1,3001108,1
-1,3001115,2
-1,3001117,2
-1,3001118,1
-1,3001120,1
-1,3001123,2
-1,3001124,1
-1,3001125,1
-1,3001126,1
-1,3001129,1
-1,3001133,2
-1,3001135,2
-1,3001136,5
-1,3001142,2
-1,3001143,1
-1,3001145,1
-1,3001146,1
-1,3001147,1
-1,3001150,2
-1,3001151,2
-1,3001155,2
-1,3001156,1
-1,3001160,2
-1,3001163,2
-1,3001165,1
-1,3001170,2
-1,3001172,1
-1,3001174,1
-1,3001175,2
-1,3001176,1
-1,3001177,2
-1,3001179,1
-1,3001184,2
-1,3001189,1
-1,3001193,2
-1,3001196,2
-1,3001199,1
-1,3001200,1
-1,3001201,2
-1,3001211,1
-1,3001218,1
-1,3001220,1
-1,3001222,2
-1,3001227,2
-1,3001232,1
-1,3001236,1
