
,0.000000000000000,253
,4932.000000000000000,1
,39328.000000000000000,4
,40408.000000000000000,1
,46423.000000000000000,1
,49010.000000000000000,1877
,49026.000000000000000,48
,49055.000000000000000,61
,49056.000000000000000,187
,49070.000000000000000,276
,49078.000000000000000,686
,49080.000000000000000,937
,49090.000000000000000,677
,49315.000000000000000,21
,49316.000000000000000,221
,49323.000000000000000,955
,49328.000000000000000,590
,49333.000000000000000,27
,49344.000000000000000,287
,49348.000000000000000,962
,49406.000000000000000,190
,49408.000000000000000,1203
,49419.000000000000000,770
,49423.000000000000000,1704
,49426.000000000000000,10
,49450.000000000000000,410
,49453.000000000000000,614
,49464.000000000000000,56
